i,density,velocity,potential
0,1e-18,0,0
1,0.0799666,0,0
2,0.159134,0,0
3,0.236712,0,0
4,0.311924,0,0
5,0.38402,0,0
6,0.452279,0,0
7,0.516018,0,0
8,0.574602,0,0
9,0.627445,0,0
10,0.674018,0,0
11,0.713857,0,0
12,0.746563,0,0
13,0.77181,0,0
14,0.789345,0,0
15,0.798993,0,0
16,0.800658,0,0
17,0.794324,0,0
18,0.780052,0,0
19,0.757986,0,0
20,0.728347,0,0
21,0.691431,0,0
22,0.647606,0,0
23,0.59731,0,0
24,0.541046,0,0
25,0.479376,0,0
26,0.412917,0,0
27,0.342331,0,0
28,0.268326,0,0
29,0.191639,0,0
30,0.113037,0,0
31,0.0333061,0,0
32,-0.0467577,0,0
33,-0.126354,0,0
34,-0.204688,0,0
35,-0.280977,0,0
36,-0.354459,0,0
37,-0.424399,0,0
38,-0.490098,0,0
39,-0.550901,0,0
40,-0.606199,0,0
41,-0.65544,0,0
42,-0.698132,0,0
43,-0.733849,0,0
44,-0.762233,0,0
45,-0.783002,0,0
46,-0.795946,0,0
47,-0.800939,0,0
48,-0.797928,0,0
49,-0.786945,0,0
50,-0.768098,0,0
51,-0.741578,0,0
52,-0.707647,0,0
53,-0.666646,0,0
54,-0.618984,0,0
55,-0.565138,0,0
56,-0.505645,0,0
57,-0.441099,0,0
58,-0.372146,0,0
59,-0.299475,0,0
60,-0.223812,0,0
61,-0.145912,0,0
62,-0.0665546,0,0
63,0.0134679,0,0
64,0.0933559,0,0
65,0.172311,0,0
66,0.249545,0,0
67,0.324285,0,0
68,0.395785,0,0
69,0.46333,0,0
70,0.526246,0,0
71,0.583904,0,0
72,0.635728,0,0
73,0.6812,0,0
74,0.719865,0,0
75,0.751338,0,0
76,0.775304,0,0
77,0.791523,0,0
78,0.799833,0,0
79,0.800152,0,0
80,0.792476,0,0
81,0.776882,0,0
82,0.753525,0,0
83,0.72264,0,0
84,0.684534,0,0
85,0.639588,0,0
86,0.588252,0,0
87,0.531038,0,0
88,0.468519,0,0
89,0.401318,0,0
90,0.330107,0,0
91,0.255598,0,0
92,0.178535,0,0
93,0.099688,0,0
94,0.0198451,0,0
95,-0.060196,0,0
96,-0.139636,0,0
97,-0.21768,0,0
98,-0.29355,0,0
99,-0.366486,0,0
100,-0.435761,0,0
101,-0.500682,0,0
102,-0.5606,0,0
103,-0.614916,0,0
104,-0.663089,0,0
105,-0.704636,0,0
106,-0.739143,0,0
107,-0.766265,0,0
108,-0.78573,0,0
109,-0.797344,0,0
110,-0.800992,0,0
111,-0.796637,0,0
112,-0.784321,0,0
113,-0.764169,0,0
114,-0.736382,0,0
115,-0.701237,0,0
116,-0.659086,0,0
117,-0.610349,0,0
118,-0.555514,0,0
119,-0.495128,0,0
120,-0.429795,0,0
121,-0.360168,0,0
122,-0.286942,0,0
123,-0.210849,0,0
124,-0.132649,0,0
125,-0.0531238,0,0
126,0.0269321,0,0
127,0.106719,0,0
128,0.185439,0,0
129,0.262307,0,0
130,0.336554,0,0
131,0.407438,0,0
132,0.474251,0,0
133,0.536325,0,0
134,0.593041,0,0
135,0.643831,0,0
136,0.688189,0,0
137,0.72567,0,0
138,0.7559,0,0
139,0.778578,0,0
140,0.793476,0,0
141,0.800447,0,0
142,0.799419,0,0
143,0.790404,0,0
144,0.773492,0,0
145,0.748851,0,0
146,0.716728,0,0
147,0.677443,0,0
148,0.63139,0,0
149,0.579028,0,0
150,0.520881,0,0
151,0.457529,0,0
152,0.389605,0,0
153,0.317789,0,0
154,0.242798,0,0
155,0.16538,0,0
156,0.0863107,0,0
157,0.00637851,0,0
158,-0.0736174,0,0
159,-0.152878,0,0
160,-0.230611,0,0
161,-0.306039,0,0
162,-0.37841,0,0
163,-0.447,0,0
164,-0.511123,0,0
165,-0.57014,0,0
166,-0.62346,0,0
167,-0.670551,0,0
168,-0.710941,0,0
169,-0.744228,0,0
170,-0.770079,0,0
171,-0.788236,0,0
172,-0.798517,0,0
173,-0.800819,0,0
174,-0.79512,0,0
175,-0.781476,0,0
176,-0.760024,0,0
177,-0.730979,0,0
178,-0.694629,0,0
179,-0.651339,0,0
180,-0.601541,0,0
181,-0.545732,0,0
182,-0.484471,0,0
183,-0.418369,0,0
184,-0.348087,0,0
185,-0.274327,0,0
186,-0.197826,0,0
187,-0.119348,0,0
188,-0.039678,0,0
189,0.0403886,0,0
190,0.120052,0,0
191,0.198515,0,0
192,0.274995,0,0
193,0.348728,0,0
194,0.418976,0,0
195,0.485037,0,0
196,0.546253,0,0
197,0.60201,0,0
198,0.651753,0,0
199,0.694983,0,0
