x,y,z,vx,vy,vz,temperature,density,pressure,is_star
0.44905,0.37730,0.42753,11.73524,6.52978,13.96174,0.81883,83110.82812,68087.81250,1
1.32259,-0.02141,0.87816,32.58074,-26.84234,26.96807,0.58431,11789.25586,6892.03223,1
0.66545,0.35847,0.63920,-9.66651,2.21696,8.55343,1.08457,99089.89844,107523.62500,1
-0.20111,-0.32600,0.59683,-20.15254,-29.68334,14.03987,1.87046,47318.56250,88551.60156,1
0.44872,1.47399,0.03474,-7.37797,44.29354,-16.74331,0.75153,11789.25586,8864.42773,1
0.08774,0.70721,1.00735,-34.91934,24.48857,10.84712,0.94103,11789.25586,11099.64258,1
1.05908,0.81784,0.32162,42.91245,21.80636,10.03211,0.38127,27254.36914,10396.38672,0
0.81957,0.57616,0.17251,9.04942,-2.32454,-13.67092,0.90785,88195.78125,80108.85938,1
0.60965,0.39103,0.59523,-5.19792,13.99195,-11.69639,0.99579,21595.03711,21514.79883,1
0.54224,-0.36208,1.09827,14.65544,-32.72869,40.19515,0.75515,11789.25586,8907.07422,1
-0.13439,-0.74313,0.45353,-36.10418,-59.47418,1.86352,3.63716,11789.25586,42900.85156,1
1.21970,-0.21991,0.61138,17.73193,-18.49460,-4.93397,1.07768,11789.25586,12711.38867,1
1.00868,0.14920,0.76257,35.87038,-2.61329,26.38231,0.44923,22353.22852,10046.71973,0
0.13043,0.31414,0.13929,-21.05148,-24.70702,-9.48167,1.93260,92387.14062,178636.40625,1
0.11527,-0.16497,1.60917,-40.29457,-19.10363,41.81235,1.09503,23367.52344,25600.92188,1
0.06059,0.52782,-0.10941,-7.97885,11.12609,-15.30372,1.40705,11789.25586,16596.38672,1
-0.01999,0.98596,0.99176,-31.53662,22.69659,28.55208,0.69131,11789.25586,8154.11768,1
0.64156,0.34758,0.61006,-34.17225,8.23810,-0.24856,0.95430,86288.13281,82386.04688,1
0.44450,0.33768,0.44853,10.43041,31.22006,-3.15989,0.84452,46616.98438,39388.79297,1
1.90209,-0.46398,0.27355,63.60443,-48.64090,-5.10997,0.83923,11789.25586,9898.90137,1
0.73267,0.31789,0.60303,3.73665,0.92267,2.48035,0.92874,123934.23438,115159.86719,1
0.69190,0.96912,0.56402,24.84133,26.39584,15.43420,0.38718,25800.13672,9994.28516,1
0.13004,0.33421,0.13856,-15.43119,-15.08583,6.05374,1.89565,68492.45312,129902.89062,1
0.46626,-0.19268,-0.26124,-18.35709,-13.99627,-45.27760,3.00020,11789.25586,35387.79688,1
0.38839,0.20243,0.92514,7.99402,-6.53405,34.06395,0.59918,11789.25586,7067.47412,0
0.41628,0.07652,-0.27347,-11.45485,-21.40636,-31.15781,2.52954,11789.25586,29836.26172,0
0.71637,0.32475,0.62275,-13.74624,24.58429,15.29590,0.97718,89512.50000,87513.50781,1
0.87525,0.04395,0.66504,31.51212,-6.97170,21.50140,0.60098,11807.95312,7099.90918,0
-0.28232,1.42842,1.24733,-43.93596,44.93495,41.53920,0.50999,11789.25586,6015.44971,1
0.86699,0.52952,0.66189,0.43578,21.16595,-2.74795,0.64695,11789.25586,7630.83691,0
0.44346,0.33833,0.44928,9.96933,32.06753,1.21915,0.84204,48864.41797,41166.33594,1
1.96529,0.07178,-0.53719,69.02003,-18.50666,-43.89695,0.98780,23367.96484,23094.33398,1
1.05420,0.07701,1.06482,11.67747,-3.75101,18.05185,0.63905,11789.25586,7537.74121,0
-0.27148,0.85333,0.96972,-25.97105,28.99839,35.82469,0.62041,21621.64648,13421.08594,1
-0.17162,0.40953,-0.26764,-35.41786,-7.43967,-26.34972,2.82586,16253.86133,45954.07422,1
0.66625,0.36150,0.62860,-1.67802,20.28935,-17.95593,1.03887,71854.16406,74684.82031,1
0.98474,0.28078,0.74214,34.59996,1.38439,35.00625,0.41253,11818.22363,4877.78223,0
-0.55418,-0.52293,0.11124,-58.43151,-47.49585,-12.98546,5.15943,11789.25586,60856.30859,1
0.70159,0.33697,0.67573,-23.67290,23.14940,-1.66259,0.96997,78747.42188,76420.82812,1
-0.59319,0.59827,0.00065,-43.84547,15.13650,-15.04173,1.90016,11789.25586,22412.66992,1
1.58390,0.89386,-0.90839,50.92862,21.98526,-68.41891,0.93219,22610.16797,21087.42773,1
0.75898,0.43492,0.74773,-3.34450,12.97134,1.85456,0.81047,18710.86914,15172.27637,1
0.54955,1.16240,0.82932,19.06139,36.24216,22.49100,0.29038,47103.91406,13685.01172,1
-0.18445,0.50304,2.08348,-39.11777,-1.11366,83.98653,0.52767,11789.25586,6224.00098,1
0.71879,0.31167,0.61475,-7.26744,3.45888,-31.07856,1.05014,148824.04688,156364.84375,1
0.73169,1.10377,0.65427,17.10178,31.57216,21.06205,0.31868,11789.25586,3758.83667,1
0.32814,-0.28188,0.47747,-21.09150,-42.75558,6.05309,2.05338,12964.87891,26635.17383,0
1.49434,-0.13134,1.09145,31.26212,-14.34272,16.77865,0.57611,11789.25586,6795.35547,1
1.22897,-0.28172,-0.59631,46.25648,-27.63868,-42.35511,1.41134,11789.25586,16646.99023,1
1.57731,0.26629,0.19731,48.66192,-11.63631,-9.34265,0.66078,11789.25586,7793.99072,1
0.83294,0.28796,0.74846,-10.96134,8.53781,-9.86861,0.80323,14725.57031,11833.88965,0
0.34993,0.25750,0.40756,12.01600,-13.17690,2.79140,0.91486,49241.18359,45071.44141,1
0.94970,0.80415,0.38868,12.35873,9.73552,-2.07562,0.56370,25688.96680,14488.11328,0
1.12146,0.21023,1.00819,16.75096,2.54485,14.64225,0.58718,21951.09766,12895.73926,0
0.18595,-0.42869,-0.12803,-4.22692,-36.71424,-20.08199,2.54231,11789.25586,29986.96875,1
1.34877,0.70481,0.44154,33.12348,7.46981,2.90109,0.47327,20442.85156,9679.88770,1
0.59078,-0.12661,0.91265,-11.01232,-8.83788,4.10258,1.25253,11789.25586,14773.79004,1
0.94270,-0.42143,0.74706,25.15657,-30.81688,28.70842,0.77483,76299.49219,59148.90234,1
0.84173,0.53838,0.12579,7.72106,6.40801,-9.18968,0.94829,13064.80957,12395.36621,1
0.74544,0.33841,0.57929,10.00684,8.06223,-17.74868,0.98581,115709.42188,114124.23438,1
0.23298,0.09022,0.56503,10.07188,-4.35358,13.17360,1.07376,20366.55469,21879.72852,1
0.92246,0.54790,1.12705,15.98402,-0.68086,32.12055,0.42594,11793.50488,5025.78613,1
0.58019,0.35063,0.60135,-21.44728,9.38237,-6.42629,1.06753,23829.97266,25451.90430,1
0.44858,0.33773,0.39940,6.73442,-3.04069,12.64874,0.87763,37643.02734,33053.13281,1
0.33132,-0.27806,-0.61851,-15.03995,-40.43058,-50.80552,4.09456,11789.25586,48296.00000,1
0.73919,0.33587,0.60315,-1.47127,-0.77410,-1.07292,0.98364,123673.42969,121711.45312,1
0.46935,0.66561,0.60022,14.24605,12.30678,7.60665,0.56623,14249.15625,8072.39160,1
0.96988,0.54077,0.84535,17.35765,-2.43797,20.84818,0.48977,11789.25586,5776.93506,0
0.49387,-0.17427,0.20722,-20.68424,-19.91514,-30.59287,2.54526,11789.25586,30021.68750,0
-0.08973,0.97108,0.36221,-16.22032,34.50058,5.47582,0.78531,20113.50391,15803.22168,0
0.12123,1.17315,0.82295,-21.98691,28.60234,18.86463,0.66644,11789.25586,7860.77686,1
0.83447,0.26548,0.72486,-13.82754,10.20809,-11.40128,0.80146,13936.59375,11175.25781,0
1.35084,0.40529,0.32787,53.37393,5.93728,5.12182,0.41348,27388.75195,11330.40918,1
