x,y,z,vx,vy,vz,temperature,density,pressure
3.30985,6.61970,9.92956,5.41333,10.82666,16.24055,571.10724,13648.24316,7794610.50000
3.34841,6.69681,10.04522,4.86057,9.72114,14.58141,56.90378,429.25153,24426.03516
3.23790,6.47580,9.71369,3.18344,6.36688,9.55041,58.39938,446.28522,26062.77930
3.28980,6.57959,9.86939,3.45701,6.91401,10.37083,3725.39209,227383.15625,847091392.00000
3.28979,6.57959,9.86939,3.68781,7.37561,11.06313,3726.76440,227508.81250,847871744.00000
3.29146,6.58292,9.87438,3.94648,7.89296,11.83929,3226.32568,183257.84375,591249472.00000
3.29879,6.59759,9.89639,4.00344,8.00688,12.01013,2155.02588,100041.22656,215591424.00000
3.29881,6.59763,9.89645,3.18614,6.37227,9.55842,2145.58032,99384.21875,213236816.00000
3.29547,6.59095,9.88642,2.89506,5.79012,8.68527,1972.26074,87588.43750,172747232.00000
3.29302,6.58605,9.87907,2.91282,5.82564,8.73813,2383.76733,116384.75781,277434176.00000
3.29257,6.58513,9.87771,3.06523,6.13045,9.19574,2659.78223,137173.25000,364850976.00000
3.29343,6.58686,9.88029,3.19764,6.39529,9.59309,2173.32959,101318.48438,220198464.00000
3.29458,6.58917,9.88375,3.30094,6.60189,9.90287,2406.38550,118045.14062,284062112.00000
3.29546,6.59092,9.88638,3.42899,6.85798,10.28644,1978.05042,87974.40625,174017808.00000
3.29515,6.59030,9.88546,3.56417,7.12834,10.69261,2114.31055,97219.50781,205552224.00000
3.29263,6.58526,9.87789,3.49752,6.99504,10.49245,2619.65820,134081.00000,351246400.00000
3.29178,6.58357,9.87536,2.63249,5.26497,7.89715,3258.73389,186026.00000,606209216.00000
3.30267,6.60533,9.90800,3.55958,7.11915,10.67898,1053.79456,34208.51562,36048748.00000
3.28447,6.56893,9.85340,1.81931,3.63862,5.45837,1823.87183,77891.80469,142064672.00000
3.28126,6.56251,9.84377,3.95739,7.91477,11.87279,1178.11633,40437.33594,47639884.00000
3.29325,6.58649,9.87974,4.52842,9.05684,13.58504,2264.48291,107759.07031,244018560.00000
