x,y,z,vx,vy,vz,temperature,density,pressure,is_star
-0.68196,-13.68758,3.33587,-9.39826,-134.74223,29.48033,2177.58862,11789.25586,25684992.00000,1
4.45101,-3.57698,4.40464,35.88084,-38.98904,37.52631,0.06842,11789.25586,806.97565,0
-9.69763,-1.88901,-1.12706,-111.27898,6.00179,-37.33806,10145.84277,11789.25586,119671784.00000,1
-2.68343,-2.97180,1.58379,-30.12159,-31.29347,13.38846,27.49788,26691.99414,734340.43750,0
-0.74287,4.60722,5.46152,-12.98641,40.77058,47.78879,0.00446,23324.08203,103.97462,1
-7.08808,4.99890,0.34355,-75.30940,45.82189,-3.56615,9.48041,11789.25586,111822.89844,1
5.78105,3.58352,0.31600,53.84916,29.82907,1.28662,0.00206,11789.25586,24.32947,0
9.84768,6.72412,-8.08317,89.30609,59.44645,-81.98460,0.00754,11789.25586,88.90379,1
12.79095,1.83410,-1.13155,114.74552,15.63325,-17.24235,0.00024,11789.25586,2.79984,1
4.20780,-1.92571,4.35743,37.35770,-20.15247,40.22729,0.01851,11789.25586,218.37753,0
-9.30257,-16.68129,8.86790,-95.73141,-166.11996,81.82878,127105.58594,11789.25586,1499229952.00000,1
0.06219,1.32103,-0.41509,-7.14335,13.22866,-15.82387,1.58751,11789.25586,18724.96680,1
5.48853,0.31075,4.09031,53.28141,-5.34214,36.16884,0.00173,20688.32812,35.71400,0
-14.42673,1.57969,-4.50351,-145.01808,10.24957,-47.34782,147139.70312,11789.25586,1735535360.00000,1
-0.34157,1.01746,0.12674,-7.42705,12.31970,-18.84266,1.74822,22267.15625,38947.37500,0
-5.15892,3.96170,-10.34668,-52.40568,35.16644,-102.86346,3053.68115,11789.25586,36018636.00000,1
-2.80880,3.11520,3.62518,-31.56252,25.04390,29.40932,0.17512,11789.25586,2065.52173,0
8.99154,3.60538,4.88267,78.17131,32.48006,39.87880,0.00001,11789.25586,0.14072,1
-10.84423,-10.10856,0.92888,-107.49870,-100.57989,6.20921,499919.34375,11789.25586,5896625664.00000,1
4.57263,-10.10716,2.04846,37.37344,-101.41534,16.44507,24.91937,11789.25586,293927.81250,1
8.30930,1.63095,6.96015,71.87981,13.62556,59.42322,0.00002,11789.25586,0.21889,1
5.75543,6.93878,2.46225,52.42828,62.04669,19.68217,0.00004,11789.25586,0.47150,1
-6.01463,1.80316,-11.20198,-64.42464,-5.24858,-96.07220,46016.73438,11789.25586,542774464.00000,1
-0.75298,1.56918,-0.93467,-10.41467,11.02822,-6.03097,3.22791,11789.25586,38073.73438,1
3.57467,0.04771,4.45882,33.25092,-2.05013,39.04727,0.00627,11789.25586,73.99215,0
-0.63736,-2.94454,-2.89649,-12.04526,-32.47993,-30.21800,191.26556,11789.25586,2256006.75000,0
-0.11418,1.20176,-0.17120,15.61884,20.55895,-32.16676,1.53636,32268.29297,49600.51562,1
5.77376,-1.60662,3.18130,52.69418,-18.07882,28.26274,0.01105,11789.25586,130.28387,0
-6.92367,-0.59940,-1.38998,-71.86500,-11.48372,-11.20879,765.69244,11789.25586,9031460.00000,1
0.05245,3.15896,-0.51157,-8.73510,24.95254,-11.38964,0.40449,11789.25586,4770.96533,0
-10.65342,-12.36238,-3.36458,-105.87537,-122.51173,-35.31839,19401046.00000,11789.25586,228838326272.00000,1
4.08528,11.57423,-5.19457,33.61741,106.44193,-53.78927,0.00192,11789.25586,22.69330,1
