x,y,z,vx,vy,vz,temperature,density,pressure,is_star
31.16170,62.32340,95.54556,29.52237,59.04474,90.64784,0.86065,1.00000,0.86108,0
27.86059,55.72117,83.60902,26.44846,52.89693,79.38957,0.86065,1.00000,0.86108,0
23.09710,46.19420,70.33990,21.91557,43.83114,66.83824,0.86065,1.00000,0.86108,0
21.72947,43.45893,63.08158,20.57892,41.15783,60.11264,0.86065,1.00000,0.86108,0
14.92092,29.84184,44.73298,13.97670,27.95339,41.89732,0.86065,1.00000,0.86108,0
10.07704,20.15408,30.71520,9.48778,18.97557,28.95708,0.86065,1.00000,0.86108,0
9.42782,18.85565,28.23367,8.90197,17.80395,26.71416,0.86065,1.00000,0.86108,0
7.01093,14.02185,21.62309,6.57775,13.15550,20.37730,0.86065,1.00000,0.86108,0
7.44137,14.88274,13.57781,7.14717,14.29434,12.48470,0.86065,1.00000,0.86108,0
-2.09623,-4.19246,2.54939,-3.15675,-6.31350,1.90207,0.86065,1.00000,0.86108,0
3.71001,7.42002,0.32072,3.45852,6.91704,-4.21243,0.86065,1.00000,0.86108,0
4.64334,9.28668,4.35825,5.57137,11.14273,4.11230,0.86065,1.00000,0.86108,0
-4.34742,-8.69484,-11.43464,-4.37995,-8.75991,-11.28362,0.86065,1.00000,0.86108,0
-4.69760,-9.39521,-11.62891,-4.31942,-8.63884,-10.96208,0.86065,1.00000,0.86108,0
-17.15287,-34.30575,-47.61120,-17.15479,-34.30959,-46.08416,0.86065,1.00000,0.86108,0
-26.35577,-52.71155,-79.13282,-25.37528,-50.75057,-76.27966,0.86065,1.00000,0.86108,0
-39.37735,-78.75470,-119.87346,-38.02206,-76.04413,-115.22912,0.86065,1.00000,0.86108,0
-51.52066,-103.04133,-154.61621,-49.53252,-99.06503,-148.65073,0.86065,1.00000,0.86108,0
-76.92490,-153.84981,-230.73961,-73.97588,-147.95177,-221.89070,0.86065,1.00000,0.86108,0
-112.72595,-225.45190,-338.18384,-108.31989,-216.63979,-324.96533,0.86065,1.00000,0.86108,0
-160.31935,-320.63870,-475.43503,-154.05464,-308.10928,-456.85315,0.86065,1.00000,0.86108,0
-179.52432,-359.04865,-538.58008,-172.46907,-344.93814,-517.41400,0.86065,1.00000,0.86108,0
-141.25648,-282.51297,-426.62021,-135.67387,-271.34775,-409.78140,0.86065,1.00000,0.86108,0
-82.75613,-165.51225,-248.44537,-79.52711,-159.05421,-238.75110,0.86065,1.00000,0.86108,0
-29.86289,-59.72578,-99.13053,-28.69967,-57.39935,-95.40256,0.86065,1.00000,0.86108,0
9.03247,18.06494,16.89577,8.59881,17.19761,16.08070,0.86065,1.00000,0.86108,0
39.86937,79.73875,118.84140,37.91396,75.82791,113.73087,0.86065,1.00000,0.86108,0
69.26003,138.52007,207.80911,66.47210,132.94420,199.44418,0.86065,1.00000,0.86108,0
95.52694,191.05388,286.56384,91.69494,183.38988,275.06927,0.86065,1.00000,0.86108,0
119.01313,238.02626,357.19043,114.81274,229.62549,344.66452,0.86065,1.00000,0.86108,0
133.64136,267.28271,401.02789,128.30531,256.61063,385.01535,0.86065,1.00000,0.86108,0
149.04181,298.08362,445.60782,143.12175,286.24350,427.90747,0.86065,1.00000,0.86108,0
152.51294,305.02588,465.32068,146.37422,292.74844,446.65234,0.86065,1.00000,0.86108,0
151.76050,303.52100,455.04224,145.66327,291.32654,436.70081,0.86065,1.00000,0.86108,0
152.71584,305.43167,462.91150,146.62695,293.25391,444.44604,0.86065,1.00000,0.86108,0
163.71135,327.42270,483.07541,157.22691,314.45383,463.87595,0.86065,1.00000,0.86108,0
160.89679,321.79358,477.95477,154.53787,309.07574,458.99255,0.86065,1.00000,0.86108,0
152.47839,304.95679,451.82968,146.38152,292.76303,433.83856,0.86065,1.00000,0.86108,0
147.45895,294.91791,441.00476,141.60648,283.21295,423.47345,0.86065,1.00000,0.86108,0
139.55135,279.10269,418.64987,133.98717,267.97433,401.96121,0.86065,1.00000,0.86108,0
130.18521,260.37042,390.53448,124.99093,249.98186,374.95273,0.86065,1.00000,0.86108,0
117.15997,234.31995,351.36057,111.91876,223.83752,335.56055,0.86065,1.00000,0.86108,0
106.35007,212.70015,318.89413,102.09592,204.19185,306.13785,0.86065,1.00000,0.86108,0
92.57599,185.15198,278.07474,88.87031,177.74062,266.94299,0.86065,1.00000,0.86108,0
77.73431,155.46863,232.99843,74.56868,149.13736,223.51866,0.86065,1.00000,0.86108,0
63.33019,126.66039,190.21777,60.77715,121.55431,182.54948,0.86065,1.00000,0.86108,0
49.16405,98.32811,147.18066,47.17712,94.35424,141.23347,0.86065,1.00000,0.86108,0
25.41807,50.83614,92.23394,24.23562,48.47123,88.36100,0.86065,1.00000,0.86108,0
21.35760,42.71519,63.60589,20.62925,41.25850,60.93501,0.86065,1.00000,0.86108,0
8.68190,17.36380,36.72517,8.32868,16.65736,35.22158,0.86065,1.00000,0.86108,0
-10.23389,-20.46778,-30.88097,-9.88823,-19.77645,-29.39472,0.86065,1.00000,0.86108,0
-21.30277,-42.60553,-62.23381,-20.44464,-40.88928,-59.50934,0.86065,1.00000,0.86108,0
-30.24711,-60.49422,-85.14619,-29.05146,-58.10291,-81.72201,0.86065,1.00000,0.86108,0
-48.92657,-97.85313,-147.10396,-47.04461,-94.08922,-141.44408,0.86065,1.00000,0.86108,0
-63.31014,-126.62028,-189.81345,-60.85295,-121.70590,-182.44640,0.86065,1.00000,0.86108,0
-77.63000,-155.26001,-232.79343,-74.56664,-149.13329,-223.61076,0.86065,1.00000,0.86108,0
-92.55037,-185.10074,-277.67377,-88.94061,-177.88121,-266.84366,0.86065,1.00000,0.86108,0
-106.22465,-212.44930,-318.66614,-102.07059,-204.14117,-306.20407,0.86065,1.00000,0.86108,0
-116.69241,-233.38483,-349.33072,-111.30968,-222.61935,-332.89856,0.86065,1.00000,0.86108,0
-130.05495,-260.10989,-390.30118,-124.96089,-249.92178,-375.01389,0.86065,1.00000,0.86108,0
-139.50923,-279.01846,-418.27234,-134.04137,-268.08273,-401.88364,0.86065,1.00000,0.86108,0
-147.39047,-294.78094,-440.93295,-141.64027,-283.28055,-423.70035,0.86065,1.00000,0.86108,0
-151.87552,-303.75104,-451.64410,-145.89674,-291.79349,-433.92773,0.86065,1.00000,0.86108,0
-158.89417,-317.78833,-479.57901,-152.68932,-305.37863,-460.83398,0.86065,1.00000,0.86108,0
-162.13531,-324.27063,-486.36679,-155.79764,-311.59528,-467.35345,0.86065,1.00000,0.86108,0
-152.66238,-305.32477,-460.48181,-146.59792,-293.19583,-442.31085,0.86065,1.00000,0.86108,0
-150.98816,-301.97632,-455.57913,-145.02374,-290.04749,-437.52878,0.86065,1.00000,0.86108,0
-154.21782,-308.43564,-463.67484,-148.17807,-296.35614,-445.40991,0.86065,1.00000,0.86108,0
-148.72653,-297.45306,-445.17593,-142.90942,-285.81885,-427.76740,0.86065,1.00000,0.86108,0
-133.50371,-267.00742,-400.81674,-128.26825,-256.53650,-385.09784,0.86065,1.00000,0.86108,0
-119.38386,-238.76772,-358.44501,-115.51897,-231.03793,-347.15265,0.86065,1.00000,0.86108,0
-95.42099,-190.84198,-286.27170,-91.68838,-183.37675,-275.07355,0.86065,1.00000,0.86108,0
-69.17255,-138.34511,-207.48865,-66.48317,-132.96634,-199.42166,0.86065,1.00000,0.86108,0
-39.16959,-78.33917,-118.94195,-37.58068,-75.16135,-114.79932,0.86065,1.00000,0.86108,0
-8.20190,-16.40380,-26.51406,-7.93424,-15.86847,-25.76919,0.86065,1.00000,0.86108,0
36.13504,72.27007,90.74839,34.74089,69.48178,86.92421,0.86065,1.00000,0.86108,0
82.93731,165.87462,248.58037,79.60599,159.21198,238.59560,0.86065,1.00000,0.86108,0
141.37654,282.75308,426.60168,135.69318,271.38635,409.47571,0.86065,1.00000,0.86108,0
179.62192,359.24384,538.88165,172.46771,344.93542,517.41827,0.86065,1.00000,0.86108,0
157.58897,315.17795,479.06235,151.31151,302.62302,460.05664,0.86065,1.00000,0.86108,0
112.83002,225.66003,338.48398,108.32472,216.64944,324.96841,0.86065,1.00000,0.86108,0
77.03587,154.07173,231.05722,73.99055,147.98109,221.91417,0.86065,1.00000,0.86108,0
51.63656,103.27312,154.87640,49.54922,99.09845,148.61452,0.86065,1.00000,0.86108,0
39.85016,79.70032,118.58092,38.68153,77.36307,114.27719,0.86065,1.00000,0.86108,0
25.21799,50.43598,79.07465,24.18153,48.36306,75.87735,0.86065,1.00000,0.86108,0
16.42822,32.85645,49.28813,15.92433,31.84867,47.78289,0.86065,1.00000,0.86108,0
5.62211,11.24421,24.39446,5.29917,10.59833,23.50188,0.86065,1.00000,0.86108,0
3.58918,7.17837,22.02580,3.36901,6.73802,25.59420,0.86065,1.00000,0.86108,0
-1.25048,-2.50095,-3.79223,-1.32264,-2.64527,-4.02512,0.86065,1.00000,0.86108,0
-2.59123,-5.18245,-7.71405,-2.52812,-5.05624,-7.35656,0.86065,1.00000,0.86108,0
-1.65671,-3.31342,-5.69562,-1.57320,-3.14640,-5.48165,0.86065,1.00000,0.86108,0
-6.52061,-13.04121,-20.50408,-6.28148,-12.56296,-19.94546,0.86065,1.00000,0.86108,0
-6.39106,-12.78211,-22.06875,-6.12370,-12.24740,-20.91747,0.86065,1.00000,0.86108,0
-9.66355,-19.32711,-26.92411,-9.25467,-18.50934,-25.65446,0.86065,1.00000,0.86108,0
-10.65742,-21.31484,-30.75339,-10.13178,-20.26357,-29.71436,0.86065,1.00000,0.86108,0
-13.98222,-27.96444,-45.86404,-12.73133,-25.46267,-43.64190,0.86065,1.00000,0.86108,0
-20.71738,-41.43475,-62.23112,-19.87764,-39.75528,-59.95078,0.86065,1.00000,0.86108,0
-23.80739,-47.61478,-69.47633,-22.75687,-45.51374,-66.24635,0.86065,1.00000,0.86108,0
-27.71142,-55.42284,-83.35822,-26.41869,-52.83739,-79.41272,0.86065,1.00000,0.86108,0
-32.13611,-64.27222,-93.10258,-30.60267,-61.20534,-88.47772,0.86065,1.00000,0.86108,0
