Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.13      2.52     2.52 249850000     0.00     0.00  Vec3::operator-(Vec3 const&) const
 13.98      4.58     2.06 200101143     0.00     0.00  get_pos(Particles const&, unsigned long)
 11.33      6.25     1.67 1301649836     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
 10.92      7.87     1.61 1157635640     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  6.92      8.88     1.02      100    10.20    24.57  compute_gravity(Particles const&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, float, float)
  5.70      9.72     0.84 501041956     0.00     0.00  Vec3::Vec3(float, float, float)
  5.63     10.55     0.83                             _init
  5.43     11.36     0.80      100     8.00    22.69  compute_density_sph(Particles&, float)
  4.17     11.97     0.61 249850000     0.00     0.00  Vec3::length2() const
  3.73     12.52     0.55   100000     0.01     0.04  StarFormation::compute_local_density(Particles const&, int) const
  3.12     12.98     0.46   100000     0.00     0.04  StarFormation::count_neighbors(Particles const&, int) const
  2.75     13.38     0.41 100000000     0.00     0.00  cubic_spline_W(float, float)
  2.65     13.78     0.39 250453000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
  2.51     14.14     0.37      100     3.70    15.62  compute_pressure_forces(Particles&, float, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&)
  1.22     14.32     0.18 199901500     0.00     0.00  std::sqrt(float)
  1.22     14.51     0.18                             std::vector<float, std::allocator<float> >::push_back(float&&)
  0.58     14.59     0.09 50252286     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.27     14.63     0.04  1039666     0.00     0.00  Vec3::operator*(float) const
  0.27     14.67     0.04      539     0.07     0.07  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.17     14.70     0.03                             compute_density_kNN(Particles&, int)
  0.10     14.71     0.01                             void std::fill<__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, Vec3>(__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >, Vec3 const&)
  0.07     14.72     0.01   619833     0.00     0.00  float const& std::max<float>(float const&, float const&)
  0.07     14.73     0.01     5336     0.00     0.00  operator new(unsigned long, void*)
  0.07     14.74     0.01      101     0.10     0.11  Particles::write_csv(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
